number,name,diameter_km,H,G,epoch_tdb,e,a,i,node,peri,M,class,soln_date,U
62,Erato,106.921,8.89,,2461200.5,.1678029183592395,3.128789114233331,2.237001436096142,125.1035081684732,277.8011363368901,341.1148349370408,MBA,2026-03-11,0
63,Ausonia,116.044,7.15,0.25,2461200.5,.1281448673622239,2.394202358351729,5.773499312340844,337.6839381773927,295.5511288649556,111.3841108395656,MBA,2026-06-05,0
64,Angelina,58.292,7.72,0.48,2461200.5,.1266602692016389,2.680404941647819,1.305758163858374,308.9523476811692,181.1490836319968,259.7428349080275,MBA,2026-06-05,0
65,Cybele,237.26,6.83,0.01,2461200.5,.1278729312517013,3.407149089657219,3.565275404821638,155.0999502979274,104.2270765148171,303.9032104989881,OMB,2026-06-05,0
66,Maja,71.82,9.53,,2461200.5,.1719311463616791,2.646989905083458,3.043131315853947,7.468988512200609,43.47283344877754,255.0174194467799,MBA,2026-06-05,0
67,Asia,56.309,8.37,,2461200.5,.186183706507439,2.421169242561504,6.026379638626945,202.2244983612501,107.6780991645414,237.7590365782546,MBA,2026-06-05,0
68,Leto,122.509,6.90,0.05,2461200.5,.1844379754287187,2.784554482930353,7.957207397005328,44.02616709105022,305.1071115469616,92.90623323441685,MBA,2026-06-05,0
69,Hesperia,138.13,7.21,0.19,2461200.5,.1688527971333706,2.977108083269381,8.585461483530867,184.8933118783717,288.1750084794506,81.16128013781068,MBA,2026-06-05,0
70,Panopaea,127.911,8.16,0.14,2461200.5,.1831104857559199,2.613971849818913,11.59605213234428,47.6384047527252,255.4013247244292,316.2647666787974,MBA,2026-06-05,0
71,Niobe,83.42,7.23,0.40,2461200.5,.1771297792196384,2.754407953194864,23.24486114067394,315.9061549897793,267.0031815464082,104.3132302944378,MBA,2025-11-19,0
72,Feronia,74.966,9.08,,2461200.5,.1213305393394305,2.265949724220728,5.418060632884509,207.9253574169567,102.6782034373694,38.12231131324369,MBA,2026-03-11,0
73,Klytia,44.590,9.04,,2461200.5,.04257371468638644,2.664627047371454,2.369487149120273,6.82163445723253,56.89468248154449,21.34212887112533,MBA,2026-06-05,0
74,Galatea,118.71,8.90,,2461200.5,.2375007390017851,2.781563681059291,4.072941871707552,196.9758140847626,175.0231927550861,106.7162474514419,MBA,2026-06-05,0
75,Eurydike,62.377,9.22,0.23,2461200.5,.3060385611924545,2.671436441290842,4.997247193597569,359.1043836225256,339.6400849238441,187.5839565792856,MBA,2026-06-05,0
76,Freia,145.423,8.00,,2461200.5,.1677050828681318,3.408418372098532,2.123646662318344,204.2705686484267,252.2840974555892,330.7604508584464,OMB,2026-06-05,0
77,Frigga,61.390,8.58,0.16,2461200.5,.1333978875541836,2.667697014133035,2.421051436650346,1.04719429255203,61.13316917381107,152.0852978616649,MBA,2026-06-05,0
78,Diana,120.60,8.39,0.08,2461200.5,.2035329971843806,2.62254755849618,8.679488626390867,333.2839444269683,153.3191429720882,201.4250721485529,MBA,2026-03-11,0
79,Eurynome,63.479,7.78,0.25,2461200.5,.1908687973286286,2.444229887165463,4.612759822794472,206.500718015384,201.3898189538187,178.9284207055777,MBA,2026-06-05,0
80,Sappho,68.563,8.06,,2461200.5,.199965657857881,2.296889990218229,8.673919174292493,218.5950689232368,139.8098058156412,113.7840224380319,MBA,2026-06-05,0
81,Terpsichore,117.727,8.66,,2461200.5,.2115947700013772,2.851880316281683,7.800515093154473,.8928295599682529,51.22998534935714,159.6069387704557,MBA,2026-06-05,0
82,Alkmene,57.621,8.26,0.28,2461200.5,.2208601774269904,2.763312662004477,2.825223571833883,25.3832783842874,110.6730230310457,14.24590467665898,MBA,2026-06-05,0
83,Beatrix,110.503,8.73,,2461200.5,.08320065973352339,2.431224366238088,4.96710441491621,27.6545752379435,169.8641873543615,183.9868216429383,MBA,2026-03-11,0
84,Klio,79.16,9.33,,2461200.5,.2354807479382093,2.363289941901141,9.314304690981094,327.4864830955402,15.19102274911641,93.07421225321939,MBA,2026-06-05,0
85,Io,154.79,7.93,,2461200.5,.192988998360535,2.653506703108166,11.95949614447063,203.0359427344125,122.9626573663393,93.83603160975231,MBA,2026-06-05,0
86,Semele,109.929,8.71,,2461200.5,.2180254539525134,3.103495553169918,4.819571606767777,86.04185943505466,308.7214132003216,100.2028110084058,MBA,2026-06-05,0
87,Sylvia,253.051,6.93,,2461200.5,.09424185252826336,3.490930821312107,10.84931414002298,72.94598366200401,267.1015444388611,123.9199379392146,OMB,2026-06-05,0
88,Thisbe,232,7.24,0.14,2461200.5,.1656267272388542,2.766223698434656,5.226223194914249,276.3195892695747,36.96678065466964,244.3610441212708,MBA,2026-06-05,0
89,Julia,145.483,6.39,0.15,2461200.5,.183667437088924,2.55062083612466,16.12344006774751,311.5198080804478,45.1983071491607,46.76649464676436,MBA,2026-06-05,0
90,Antiope,115.974,8.42,,2461200.5,.1727452854298038,3.140656864146724,2.205423425787778,69.88563760208591,244.3791532887398,244.5300509432576,MBA,2026-06-05,0
91,Aegina,103.402,9.12,,2461200.5,.1081288690798316,2.589433605675628,2.102946747856676,10.35856678042594,74.08596092918276,61.90460857652717,MBA,2026-06-05,0
92,Undina,126.42,6.74,,2461200.5,.1047890077311614,3.186214072968625,9.923128109117863,101.3930422279473,236.560409833954,272.9505507116672,MBA,2026-06-05,0
93,Minerva,154.155,7.88,,2461200.5,.1430228925053215,2.753285432594034,8.539432103078337,3.812658157961029,275.9030399294539,316.2855179231801,MBA,2026-06-05,0
94,Aurora,204.89,7.70,,2461200.5,.09727685438054924,3.159058230155814,7.970933497679447,2.452932840042878,60.61181699442076,45.70609751293112,MBA,2026-06-05,0
95,Arethusa,147.969,7.96,,2461200.5,.1524296394685212,3.064558962603124,13.00890306603479,242.9392416231333,152.7507948840774,193.0288624554686,MBA,2026-06-05,0
96,Aegle,177.774,7.66,,2461200.5,.1425317383934198,3.048160198672664,15.98478061678558,321.47143105753,207.9654092730796,226.1706238344151,MBA,2026-06-05,0
97,Klotho,100.717,7.78,,2461200.5,.2574189691730235,2.668721395933794,11.7749761307233,159.5791795124999,268.4554010876491,179.2625162865355,MBA,2026-06-05,0
98,Ianthe,132.788,8.94,,2461200.5,.1878298960866701,2.687800393275506,15.57837092054311,353.8466396669917,158.0742116483098,348.1982053971909,MBA,2026-06-05,0
99,Dike,67.354,9.46,,2461200.5,.1978047569667596,2.66281253219302,13.86482901029714,41.39623988095554,195.3882756052248,114.0515223817403,MBA,2026-06-05,0
100,Hekate,85.734,7.73,,2461200.5,.1679769610418651,3.090590498342658,6.431109110683366,127.155165502832,183.5110330383411,359.5561095661002,MBA,2026-06-05,0
101,Helena,65.84,8.39,0.35,2461200.5,.1404314672556045,2.583432489071386,10.19255903810696,343.3555476080019,347.7309312706132,11.14007881622206,MBA,2026-03-11,0
102,Miriam,82.595,9.43,,2461200.5,.2519998555997096,2.663741531879857,5.172295702322027,210.6179997580635,147.5747274168146,120.4341952431074,MBA,2026-06-05,0
103,Hera,83.908,7.74,,2461200.5,.08161513369297455,2.701355668748028,5.427270748828234,135.9540269353237,190.4199362713803,209.9529846897666,MBA,2026-06-05,0
104,Klymene,136.553,8.52,,2461200.5,.1630007433764306,3.145150633469873,2.789055939805557,41.63309398947867,31.93316214169533,17.61877578031377,MBA,2026-06-05,0
105,Artemis,94.864,8.75,0.10,2461200.5,.1790867111917403,2.372183967632048,21.45696649108066,188.2142127163805,56.91289099761361,147.4923237452793,MBA,2026-06-05,0
106,Dione,207.869,7.76,,2461200.5,.1587166708631218,3.182085789847609,4.574835930957805,61.97652342040425,331.7748914047351,314.6166059711039,MBA,2025-11-19,0
107,Camilla,210.370,7.09,0.08,2461200.5,.06725823702333292,3.496730120606315,10.00612918005919,172.3941527470202,303.0136413979765,3.466180718189857,OMB,2026-06-05,0
