id,label,vmag,src,ra,dec,epoch,pmra,pmdec,plx,rv,hip,tyc,hr
Gaia DR3 3618206382887369216,HIP 66757,8.71,G,205.241221217,-8.669631728,2016.0,-2.288224714811519,-41.26466961472172,6.983766329590223,15.231767,66757,5546-1326-1,
Gaia DR3 3607274282369889536,Gaia DR3 3607274282369889536,7.27,G,205.248754866,-12.783027972,2016.0,2.971883232798697,-23.839534959053818,4.345121094855337,-6.3484864,,,
Gaia DR3 3632266662705367168,HIP 66764,8.92,G,205.263429091,-6.354688656,2016.0,-27.43751140946074,-27.918013137308265,8.415147517720872,-7.2563076,66764,4973-1331-1,
Gaia DR3 3616498016695728000,HIP 66776,9.25,G,205.298117138,-11.298457395,2016.0,-48.653232914305924,-61.66347503861877,6.408131543619742,26.40629,66776,5549-630-1,
Gaia DR3 3618502185874868480,TYC 5546-183-1,9.61,G,205.343516938,-8.326023783,2016.0,-42.10169937004727,-3.94023208836868,6.413196160241634,-17.560503,,5546-183-1,
Gaia DR3 3616839724293845888,TYC 5549-932-1,7.8,G,205.344593424,-10.452453783,2016.0,-2.2670722136713453,19.850340062324968,2.9243014650407626,17.338245,,5549-932-1,
Gaia DR3 3633976403286668032,TYC 4970-864-1,9.89,G,205.385513063,-3.765199648,2016.0,5.57141267231652,-12.490719269800678,0.7627105095905298,13.666393,,4970-864-1,
Gaia DR3 3618188825061050752,TYC 5546-1465-1,9.62,G,205.392468173,-8.815716876,2016.0,8.265754261060426,-6.286411918402767,1.8929348109774062,-20.241083,,5546-1465-1,
Gaia DR3 3618198617586733312,82 Vir,5.01,G,205.40279837,-8.702807905,2016.0,-91.25801179262754,38.785707805459595,5.4376460613149895,0.0,,,5150
Gaia DR3 3633951556900076544,TYC 4970-1121-1,9.57,G,205.410114315,-4.002391332,2016.0,-3.4273010283167746,-18.557759045085408,1.5476020075757457,94.07992,,4970-1121-1,
Gaia DR3 6293758527673447296,HIP 66810,8.42,G,205.416778779,-17.324762054,2016.0,-19.67695698868492,6.3145173957829694,2.2945714896949503,10.191955,66810,6126-678-1,
Gaia DR3 3605240185858482560,HIP 66811,8.85,G,205.419637218,-16.175998378,2016.0,4.6835401141854245,-14.566941954984754,3.2058886791724097,-10.974258,66811,6122-333-1,
Gaia DR3 3633950564763385216,HIP 66815,8.81,G,205.426941086,-4.029689815,2016.0,-203.16215256396686,-62.64286163321977,15.416672994974203,-85.05389,66815,4970-1219-1,
Gaia DR3 3605134357864249728,TYC 6122-200-1,9.19,G,205.445462758,-16.807459664,2016.0,-43.05757289185837,-5.102197448635931,6.650347970436743,-14.070632,,6122-200-1,
Gaia DR3 3618617222279058048,HIP 66831,8.03,G,205.450167103,-7.556465017,2016.0,16.790789697615985,-18.639392142816323,6.568005746904011,3.7179933,66831,5546-71-1,
Gaia DR3 6293697985814419968,TYC 6126-709-1,8.23,G,205.450466794,-17.553417953,2016.0,5.2481246175272975,-15.712792985891603,3.0431576062803547,36.91391,,6126-709-1,
Gaia DR3 3633852295911621888,TYC 4970-630-1,9.47,G,205.460024533,-4.535445655,2016.0,-21.332680205001047,-5.386129995545554,1.2930311004169692,4.518,,4970-630-1,
Gaia DR3 3606071721590784640,HIP 66834,9.75,G,205.464260817,-14.416049782,2016.0,2.106176156270304,-11.213597616780623,1.6248914274360247,-12.234616,66834,5552-331-1,
Gaia DR3 3616620543522733312,TYC 5549-217-1,9.8,G,205.464393193,-10.871389855,2016.0,14.73776380037249,-14.510048782807814,2.140471559298195,-5.8464646,,5549-217-1,
Gaia DR3 3617324162244988160,TYC 5546-955-1,9.04,G,205.485731875,-9.671345035,2016.0,18.845691894875955,-3.97225532350311,2.207184186423874,16.951399,,5546-955-1,
Gaia DR3 3607251879820447232,HIP 66844,8.93,G,205.48949471,-13.027629688,2016.0,-30.472173580144673,21.539359142565097,2.1042160910702172,-78.118095,66844,5552-1079-1,
Gaia DR3 3607259816920028672,TYC 5552-1190-1,9.52,G,205.506191709,-12.824170541,2016.0,-6.397427500443867,2.221136520937395,1.5670957153024547,-19.59943,,5552-1190-1,
Gaia DR3 3605254238991497600,TYC 6122-456-1,9.19,G,205.507887166,-15.923917302,2016.0,-40.87547960225477,66.53766313702499,6.8517532091963,-9.550509,,6122-456-1,
Gaia DR3 3632162724496830720,HIP 66853,8.83,G,205.509001069,-6.968952679,2016.0,-15.794132849868918,7.5359594786761015,2.581447692344588,15.893904,66853,4973-1054-1,
Gaia DR3 3618120552260956544,TYC 5546-1408-1,8.56,G,205.530049674,-9.111183458,2016.0,9.845233264571887,-12.920966795158273,1.8952530975024162,20.43453,,5546-1408-1,
Gaia DR3 3632587204704652800,TYC 4973-649-1,9.05,G,205.586003914,-5.674235247,2016.0,-3.3031393883083933,-55.787249848871845,4.287875001287121,23.258223,,4973-649-1,
Gaia DR3 3606937556933840896,HIP 66889,8.67,G,205.616646197,-13.56008463,2016.0,22.26972297518046,5.171904079954084,1.4936521454693645,14.337795,66889,5552-703-1,
Gaia DR3 6293756981485223936,TYC 6126-629-1,8.91,G,205.644664387,-17.273029257,2016.0,7.110209728927935,-19.813520321305393,7.241682293743533,14.305721,,6126-629-1,
Gaia DR3 3613372964131645312,HIP 66901,7.43,G,205.648233784,-12.086998615,2016.0,-91.42442770238831,-14.956120169182139,17.00193578625614,-5.99144,66901,5549-770-1,
Gaia DR3 3605615531640359808,Gaia DR3 3605615531640359808,9.36,G,205.688191075,-15.041706735,2016.0,-34.96072118018532,8.886471943423338,5.94996003468545,-38.004284,,,
Gaia DR3 3605615875237744128,HIP 66920,8.34,G,205.723406461,-15.035386593,2016.0,-3.811910733626614,-30.032744523885974,4.925651490031555,6.5441394,66920,6122-580-1,
Gaia DR3 3616454585986489856,HIP 66926,8.08,G,205.740169459,-11.302284142,2016.0,-47.56434522584707,-15.082331357127716,4.163885553541923,0.0,66926,5549-768-1,
Gaia DR3 3607307611316233216,TYC 5549-97-1,9.15,G,205.742810413,-12.490496943,2016.0,-65.82038064593978,-8.640875519547688,9.147795260467468,-10.910541,,5549-97-1,
Gaia DR3 3617318973924582016,TYC 5546-1323-1,9.54,G,205.745667096,-9.615948945,2016.0,-24.6441989885576,4.897748079282495,3.188434275910561,-29.421774,,5546-1323-1,
Gaia DR3 3616655556096197376,TYC 5549-305-1,9.75,G,205.790319721,-10.593385475,2016.0,-8.48316269984221,4.547966565525233,0.8908699586218072,-61.274082,,5549-305-1,
Gaia DR3 3617366248628683904,TYC 5546-1014-1,9.51,G,205.793708921,-9.198223339,2016.0,-69.48081395550435,-39.935312222757176,16.001817859186062,-2.2919738,,5546-1014-1,
Gaia DR3 3616865008765450240,TYC 5549-508-1,10.81,G,205.83115361,-10.110280408,2016.0,-12.967978599970872,4.826016847933253,0.5700700845498626,-22.888897,,5549-508-1,
Gaia DR3 6293481725621123712,TYC 6126-463-1,8.2,G,205.83161362,-18.012041557,2016.0,-13.321951260956517,-3.773036687211426,3.210978293651584,-22.545046,,6126-463-1,
Gaia DR3 3606100003951516416,TYC 5552-84-1,8.95,G,205.85286051,-14.237695169,2016.0,-15.84283867245567,-50.11865063600678,6.505309521288598,-3.6915798,,5552-84-1,
Gaia DR3 3618344062358973696,TYC 5546-703-1,9.72,G,205.869163237,-8.169767712,2016.0,-0.9546632797979591,-2.877250161357901,0.8771670282525602,-29.78315,,5546-703-1,
Gaia DR3 3633886552570839552,HIP 66966,7.07,G,205.876319396,-4.274593274,2016.0,-33.196003524529566,-23.722529134748665,4.067114002405592,6.2634435,66966,4970-870-1,
Gaia DR3 6295325400462327680,TYC 6122-84-1,9.6,G,205.881094122,-16.497597484,2016.0,5.364363550363935,-8.650615116993272,1.9535019789769565,10.962788,,6122-84-1,
Gaia DR3 6293488666288286592,TYC 6126-19-1,10.69,G,205.891442213,-17.827136805,2016.0,-17.494798834987556,-7.653179021062815,1.0230119769212147,-1.5900091,,6126-19-1,
